date,bab
193012,-0.06
193101,-2.24
193102,-7.74
193103,2.92
193104,-1.3
193105,-0.72
193106,-7.87
193107,1.16
193108,0.75
193109,-3.65
193110,-7.39
193111,0.85
193112,-1.71
193201,-6.03
193202,0.64
193203,4.21
193204,-2.49
193205,0.39
193206,-4.75
193207,-19.07
193208,-11.54
193209,5.89
193210,6.04
193211,3.66
193212,-0.91
193301,0.65
193302,3.84
193303,0.5
193304,-7.65
193305,18.65
193306,11.96
193307,-2.2
193308,1.05
193309,3.57
193310,-0.99
193311,-0.6
193312,0.82
193401,2.23
193402,2.97
193403,1.68
193404,9.56
193405,0.38
193406,3.49
193407,3.07
193408,-2.95
193409,2.4
193410,5.04
193411,6.34
193412,-0.08
193501,2.84
193502,7.46
193503,1.06
193504,2.47
193505,2.55
193506,3.57
193507,-0.97
193508,-2.32
193509,2.17
193510,1.58
193511,-2.53
193512,2.26
193601,-2.93
193602,0.83
193603,1.42
193604,-0.58
193605,1.96
193606,1.48
193607,2.36
193608,0.75
193609,3.38
193610,4.0
193611,2.85
193612,-5.12
193701,-1.55
193702,-0.97
193703,-5.04
193704,0.62
193705,1.05
193706,-0.98
193707,-0.23
193708,1.19
193709,-2.8
193710,-3.41
193711,-3.39
193712,3.38
193801,2.69
193802,0.19
193803,0.15
193804,-2.28
193805,2.7
193806,-2.28
193807,2.6
193808,0.51
193809,-1.6
193810,-4.2
193811,2.88
193812,-0.65
193901,2.9
193902,1.53
193903,8.38
193904,-1.05
193905,3.58
193906,6.07
193907,-3.56
193908,0.34
193909,-21.95
193910,7.74
193911,6.47
193912,3.16
194001,4.23
194002,0.16
194003,1.88
194004,-0.33
194005,-9.84
194006,3.34
194007,2.37
194008,0.62
194009,1.23
194010,-1.89
194011,1.8
194012,1.86
194101,0.29
194102,-1.3
194103,0.44
194104,0.33
194105,-1.08
194106,1.72
194107,-3.12
194108,0.93
194109,2.04
194110,-0.25
194111,0.66
194112,0.01
194201,-8.31
194202,-2.22
194203,-4.03
194204,-2.06
194205,5.01
194206,2.34
194207,0.58
194208,0.54
194209,-1.83
194210,-2.02
194211,3.93
194212,2.83
194301,-5.78
194302,-6.23
194303,0.99
194304,-1.67
194305,-0.99
194306,2.56
194307,2.24
194308,0.71
194309,0.98
194310,-0.05
194311,1.95
194312,-1.11
194401,0.08
194402,-0.06
194403,-0.88
194404,0.46
194405,1.4
194406,-2.54
194407,1.94
194408,-0.41
194409,0.1
194410,2.13
194411,0.47
194412,-1.79
194501,0.43
194502,0.23
194503,1.23
194504,0.2
194505,1.53
194506,-4.86
194507,1.03
194508,3.9
194509,2.45
194510,4.86
194511,0.79
194512,1.04
194601,-0.69
194602,0.57
194603,5.84
194604,6.18
194605,0.15
194606,-1.35
194607,1.39
194608,0.65
194609,0.16
194610,0.2
194611,1.94
194612,0.78
194701,-1.7
194702,0.58
194703,0.38
194704,0.27
194705,0.99
194706,2.4
194707,-0.27
194708,0.48
194709,-1.23
194710,0.81
194711,0.99
194712,0.01
194801,-2.22
194802,0.4
194803,-1.84
194804,0.43
194805,0.58
194806,-0.62
194807,0.37
194808,0.6
194809,1.45
194810,0.52
194811,1.37
194812,0.51
194901,1.69
194902,0.96
194903,-1.12
194904,2.08
194905,3.34
194906,0.41
194907,1.13
194908,2.41
194909,-0.6
194910,0.54
194911,2.14
194912,-0.04
195001,-1.12
195002,0.86
195003,0.58
195004,-3.71
195005,1.78
195006,-1.02
195007,-5.82
195008,3.36
195009,1.24
195010,1.16
195011,-0.92
195012,-3.61
195101,0.59
195102,2.23
195103,0.46
195104,-1.39
195105,2.12
195106,1.71
195107,-1.53
195108,-0.22
195109,-1.18
195110,0.41
195111,0.05
195112,0.77
195201,0.77
195202,0.16
195203,-1.21
195204,0.9
195205,0.48
195206,-0.77
195207,0.87
195208,2.04
195209,0.83
195210,-0.39
195211,0.4
195212,-0.01
195301,1.42
195302,0.62
195303,0.58
195304,-0.53
195305,0.12
195306,-0.07
195307,1.05
195308,3.99
195309,0.03
195310,-0.54
195311,0.77
195312,2.62
195401,-1.02
195402,0.21
195403,0.06
195404,1.18
195405,-0.05
195406,1.33
195407,1.86
195408,0.75
195409,0.55
195410,-0.96
195411,1.55
195412,-1.69
195501,0.76
195502,0.08
195503,-1.09
195504,1.61
195505,0.1
195506,-0.51
195507,2.83
195508,-1.35
195509,-0.4
195510,0.1
195511,-2.63
195512,-1.56
195601,1.9
195602,-0.93
195603,-1.33
195604,-1.09
195605,1.7
195606,-1.33
195607,-0.78
195608,1.16
195609,0.2
195610,-0.03
195611,-0.81
195612,-2.63
195701,5.3
195702,1.51
195703,0.66
195704,0.53
195705,-1.48
195706,-1.21
195707,1.02
195708,3.45
195709,3.8
195710,1.11
195711,1.51
195712,6.54
195801,0.5
195802,4.68
195803,1.03
195804,2.68
195805,0.6
195806,0.38
195807,-2.63
195808,0.44
195809,-0.04
195810,2.21
195811,1.71
195812,3.59
195901,2.54
195902,0.96
195903,0.41
195904,-1.12
195905,-0.9
195906,-1.78
195907,2.33
195908,3.37
195909,-0.04
195910,-1.64
195911,-0.82
195912,0.02
196001,2.13
196002,0.32
196003,2.36
196004,2.84
196005,-1.22
196006,3.8
196007,2.38
196008,2.65
196009,0.1
196010,1.1
196011,1.56
196012,2.36
196101,2.18
196102,2.38
196103,2.56
196104,2.82
196105,0.57
196106,0.68
196107,0.77
196108,4.1
196109,3.12
196110,4.7
196111,3.17
196112,-2.85
196201,-2.4
196202,1.5
196203,1.09
196204,0.4
196205,-4.14
196206,0.23
196207,-0.09
196208,0.02
196209,1.78
196210,-1.13
196211,-3.5
196212,2.81
196301,2.9
196302,1.24
196303,-0.06
196304,0.32
196305,-0.98
196306,0.52
196307,0.81
196308,-1.22
196309,1.07
196310,-1.88
196311,-0.52
196312,0.01
196401,0.61
196402,-0.5
196403,-0.19
196404,2.53
196405,0.52
196406,0.79
196407,2.16
196408,0.94
196409,-1.84
196410,0.62
196411,1.99
196412,-0.03
196501,0.06
196502,-0.09
196503,-0.47
196504,-0.44
196505,-0.01
196506,0.08
196507,-0.96
196508,-1.94
196509,-1.26
196510,-1.74
196511,-2.06
196512,-0.11
196601,1.35
196602,-1.7
196603,0.37
196604,-1.1
196605,0.01
196606,-1.37
196607,-0.02
196608,-3.0
196609,1.26
196610,2.14
196611,-5.29
196612,-0.74
196701,1.4
196702,2.62
196703,0.81
196704,1.71
196705,2.01
196706,-1.63
196707,4.56
196708,2.27
196709,2.13
196710,-0.04
196711,-0.75
196712,0.2
196801,6.29
196802,2.13
196803,-1.58
196804,0.17
196805,1.81
196806,6.89
196807,2.47
196808,0.15
196809,0.71
196810,3.22
196811,2.57
196812,1.05
196901,0.69
196902,-0.31
196903,-1.76
196904,-0.48
196905,1.76
196906,-1.31
196907,-1.04
196908,-1.31
196909,0.12
196910,1.2
196911,-0.38
196912,0.57
197001,0.98
197002,2.61
197003,4.18
197004,1.39
197005,-4.99
197006,4.39
197007,3.4
197008,-1.09
197009,-5.48
197010,4.33
197011,4.37
197012,6.05
197101,-1.54
197102,-0.28
197103,0.06
197104,-0.27
197105,-0.42
197106,1.55
197107,1.52
197108,-0.04
197109,0.08
197110,0.84
197111,-0.06
197112,2.98
197201,-4.23
197202,-0.34
197203,1.3
197204,-0.3
197205,1.02
197206,0.06
197207,1.45
197208,2.28
197209,0.3
197210,2.45
197211,3.04
197212,1.54
197301,-0.85
197302,-0.02
197303,-0.61
197304,1.29
197305,0.71
197306,-0.79
197307,-3.94
197308,-0.27
197309,2.24
197310,1.35
197311,-4.12
197312,1.6
197401,-2.05
197402,2.37
197403,0.63
197404,-3.48
197405,-1.6
197406,-0.37
197407,-0.28
197408,-4.77
197409,-1.09
197410,4.58
197411,-1.47
197412,-2.67
197501,4.84
197502,-0.69
197503,-4.06
197504,1.15
197505,1.39
197506,2.95
197507,4.01
197508,-0.29
197509,2.56
197510,1.94
197511,1.47
197512,-1.8
197601,2.54
197602,0.66
197603,-0.45
197604,2.5
197605,0.21
197606,-1.34
197607,1.87
197608,1.38
197609,1.72
197610,1.12
197611,0.45
197612,3.17
197701,4.07
197702,2.49
197703,1.23
197704,1.06
197705,1.04
197706,-0.22
197707,2.86
197708,0.34
197709,0.41
197710,0.18
197711,0.28
197712,2.37
197801,0.23
197802,1.49
197803,1.63
197804,3.21
197805,2.21
197806,2.1
197807,0.37
197808,4.65
197809,2.39
197810,-3.75
197811,-4.21
197812,0.22
197901,3.34
197902,1.04
197903,-1.35
197904,1.13
197905,-0.12
197906,1.65
197907,1.6
197908,1.96
197909,0.39
197910,-4.7
197911,-1.6
197912,0.84
198001,2.63
198002,-1.53
198003,-4.71
198004,2.09
198005,3.65
198006,3.69
198007,-0.94
198008,1.52
198009,1.29
198010,-0.22
198011,-6.26
198012,0.92
198101,4.71
198102,1.96
198103,3.67
198104,5.67
198105,-0.36
198106,5.44
198107,-1.34
198108,2.0
198109,-1.62
198110,-1.94
198111,4.37
198112,2.21
198201,0.02
198202,3.02
198203,1.64
198204,2.14
198205,2.48
198206,-0.49
198207,1.49
198208,-2.27
198209,7.55
198210,2.78
198211,6.73
198212,3.04
198301,2.68
198302,8.33
198303,6.53
198304,4.67
198305,3.13
198306,2.88
198307,3.8
198308,-0.88
198309,3.47
198310,3.48
198311,-0.13
198312,1.36
198401,3.3
198402,-1.92
198403,-0.22
198404,-0.19
198405,1.77
198406,0.75
198407,2.91
198408,0.03
198409,4.45
198410,2.69
198411,1.26
198412,0.26
198501,2.08
198502,4.79
198503,3.32
198504,3.32
198505,1.55
198506,2.95
198507,-0.48
198508,0.83
198509,0.48
198510,2.22
198511,2.39
198512,3.16
198601,1.81
198602,4.4
198603,4.53
198604,1.87
198605,3.32
198606,5.12
198607,1.42
198608,-1.59
198609,-2.44
198610,-1.46
198611,-0.97
198612,-2.22
198701,3.63
198702,0.53
198703,4.94
198704,0.42
198705,-0.35
198706,2.25
198707,4.25
198708,-0.54
198709,0.06
198710,-12.69
198711,4.36
198712,-9.26
198801,3.73
198802,-1.18
198803,5.52
198804,1.85
198805,0.99
198806,-0.54
198807,1.58
198808,1.46
198809,-2.13
198810,0.21
198811,-1.93
198812,-2.53
198901,0.86
198902,1.04
198903,2.06
198904,0.9
198905,-0.44
198906,2.01
198907,0.86
198908,0.92
198909,0.08
198910,0.49
198911,1.31
198912,-0.9
199001,-0.21
199002,-1.35
199003,-0.21
199004,-2.46
199005,-2.01
199006,1.33
199007,0.47
199008,-2.07
199009,0.05
199010,-4.05
199011,-5.12
199012,-1.24
199101,-6.13
199102,1.55
199103,1.44
199104,4.85
199105,1.14
199106,2.56
199107,0.31
199108,1.32
199109,2.87
199110,2.17
199111,2.62
199112,-3.29
199201,5.36
199202,3.87
199203,2.41
199204,-0.33
199205,1.13
199206,1.62
199207,1.34
199208,1.04
199209,1.74
199210,-0.44
199211,-0.49
199212,3.43
199301,7.81
199302,5.84
199303,4.64
199304,4.86
199305,0.94
199306,3.57
199307,3.58
199308,2.24
199309,3.08
199310,3.26
199311,-3.48
199312,1.29
199401,3.5
199402,-1.24
199403,-0.81
199404,-1.26
199405,0.9
199406,1.5
199407,-0.74
199408,-2.28
199409,3.84
199410,-2.0
199411,-3.9
199412,-3.06
199501,1.29
199502,1.34
199503,1.22
199504,1.31
199505,1.44
199506,1.84
199507,1.59
199508,3.44
199509,3.2
199510,-0.39
199511,-1.05
199512,2.25
199601,4.4
199602,0.82
199603,2.59
199604,0.08
199605,3.72
199606,3.41
199607,-0.15
199608,1.09
199609,1.31
199610,3.27
199611,0.9
199612,2.45
199701,3.95
199702,5.87
199703,2.98
199704,-1.46
199705,-1.74
199706,5.75
199707,0.92
199708,2.16
199709,8.24
199710,4.63
199711,1.65
199712,6.7
199801,-1.36
199802,0.09
199803,3.72
199804,3.16
199805,1.75
199806,-1.18
199807,-0.29
199808,-0.8
199809,-3.69
199810,-8.76
199811,-3.57
199812,-2.87
199901,-3.72
199902,1.0
199903,-7.3
199904,-0.2
199905,3.61
199906,-1.33
199907,0.1
199908,-2.67
199909,-4.97
199910,-2.42
199911,-11.95
199912,-11.32
200001,-0.2
200002,-13.45
200003,0.08
200004,6.9
200005,6.05
200006,-10.12
200007,6.14
200008,-5.07
200009,8.17
200010,1.28
200011,13.49
200012,8.38
200101,-15.67
200102,15.36
200103,10.54
200104,-4.78
200105,6.65
200106,3.43
200107,7.08
200108,7.05
200109,5.19
200110,-7.0
200111,-6.4
200112,1.94
200201,5.12
200202,9.66
200203,3.07
200204,12.96
200205,7.4
200206,8.1
200207,-1.35
200208,3.11
200209,5.52
200210,-8.9
200211,-14.37
200212,12.18
200301,1.39
200302,1.89
200303,1.21
200304,-3.43
200305,-5.61
200306,1.86
200307,0.55
200308,0.35
200309,1.79
200310,0.26
200311,4.58
200312,6.27
200401,-1.46
200402,5.39
200403,5.13
200404,0.09
200405,0.38
200406,2.55
200407,5.98
200408,2.67
200409,3.0
200410,1.53
200411,3.09
200412,1.5
200501,3.92
200502,3.45
200503,0.64
200504,1.46
200505,-1.88
200506,3.71
200507,1.64
200508,0.27
200509,0.15
200510,-2.2
200511,0.0
200512,1.41
200601,0.91
200602,0.65
200603,1.06
200604,1.33
200605,0.3
200606,0.08
200607,2.06
200608,-0.46
200609,-0.17
200610,0.47
200611,1.48
200612,2.54
200701,1.37
200702,1.16
200703,0.08
200704,0.87
200705,-1.03
200706,0.8
200707,-0.72
200708,-2.92
200709,1.41
200710,0.21
200711,-4.05
200712,-2.48
200801,-2.09
200802,2.26
200803,-6.73
200804,-2.12
200805,0.9
200806,0.47
200807,-6.77
200808,-1.3
200809,-9.11
200810,-5.06
200811,-3.53
200812,-7.61
200901,11.9
200902,-0.33
200903,-2.65
200904,-7.87
200905,6.53
200906,9.1
200907,-3.62
200908,-2.28
200909,-0.38
200910,0.81
200911,-1.2
200912,0.94
201001,1.01
201002,0.74
201003,1.54
201004,1.49
201005,-0.57
201006,2.31
201007,-2.31
201008,1.62
201009,-1.19
201010,2.06
201011,-0.51
201012,-0.13
201101,3.02
201102,0.7
201103,0.43
201104,0.55
201105,1.42
201106,0.41
201107,-0.41
201108,0.76
201109,2.04
201110,-5.99
201111,0.62
201112,1.25
201201,0.68
201202,2.56
201203,3.94
201204,2.9
201205,2.35
201206,1.07
201207,1.06
201208,-0.87
201209,0.77
201210,2.01
201211,-1.36
201212,-1.06
201301,4.39
201302,1.87
201303,2.33
201304,1.68
201305,-1.5
201306,2.09
201307,1.8
201308,-0.38
201309,0.76
201310,2.88
201311,1.94
201312,0.27
201401,2.05
201402,-0.18
201403,1.58
201404,0.21
201405,1.07
201406,-0.38
201407,1.01
201408,1.73
201409,2.47
201410,2.09
201411,2.36
201412,0.28
201501,2.63
201502,-2.07
201503,1.41
201504,-2.16
201505,2.67
201506,1.97
201507,5.5
201508,-1.54
201509,5.64
201510,-1.03
201511,1.34
201512,2.57
201601,0.72
201602,-0.61
201603,-2.43
201604,-2.61
201605,2.23
201606,2.89
201607,2.33
201608,-1.84
201609,-0.17
201610,1.1
201611,-1.62
201612,3.76
201701,0.07
201702,1.87
201703,1.33
201704,2.05
201705,2.29
201706,-0.03
201707,0.19
201708,-0.08
201709,-0.19
201710,0.26
201711,2.0
201712,0.48
201801,-0.04
201802,-1.95
201803,2.46
201804,0.09
201805,0.62
201806,2.42
201807,-0.37
201808,-1.23
201809,-0.62
201810,2.12
201811,-0.1
201812,-0.04
201901,-0.64
201902,0.01
201903,0.28
201904,-0.14
201905,4.24
201906,-0.05
201907,2.12
201908,2.38
201909,-1.16
201910,-0.42
201911,-2.83
201912,-0.3
202001,4.17
202002,-3.6
202003,-9.64
202004,-1.79
202005,4.45
202006,5.08
202007,6.49
202008,-3.98
202009,1.29
202010,-1.99
202011,-5.08
202012,5.37
202101,10.73
202102,-1.94
202103,-2.99
202104,0.33
202105,-0.75
202106,0.27
202107,3.76
202108,0.42
